"Year","State","State_Mandate","Shootings","Body_Cam_Rate","Threat_Rate","Weapon_Rate","Flee_Rate","Race_B_Rate","Race_W_Rate","Race_A_Rate","Race_H_Rate","Race_N_Rate","Gender_Rate","Population","Race_Diversity","AdoptionYear","Mandate","Post"
2018,"KS",0,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2912750,NA,NA,0,1
2019,"KS",0,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2912640,NA,NA,0,1
2020,"KS",0,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2938170,NA,NA,0,1
2021,"KS",0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2938340,NA,NA,0,1
2022,"KS",0,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2937320,NA,NA,0,1
2015,"KY",0,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4429130,NA,NA,0,0
2016,"KY",0,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4440310,NA,NA,0,1
2017,"KY",0,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4455590,NA,NA,0,1
2018,"KY",0,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4464270,NA,NA,0,1
2019,"KY",0,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4472350,NA,NA,0,1
2020,"KY",0,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4508320,NA,NA,0,1
2021,"KY",0,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4507580,NA,NA,0,1
2022,"KY",0,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4519230,NA,NA,0,1
2015,"LA",0,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4667000,NA,NA,0,0
2016,"LA",0,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4681350,NA,NA,0,1
2017,"LA",0,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4673670,NA,NA,0,1
2018,"LA",0,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4664450,NA,NA,0,1
2019,"LA",0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4658290,NA,NA,0,1
2020,"LA",0,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4652300,NA,NA,0,1
