"Year","State","State_Mandate","Shootings","Body_Cam_Rate","Threat_Rate","Weapon_Rate","Flee_Rate","Race_B_Rate","Race_W_Rate","Race_A_Rate","Race_H_Rate","Race_N_Rate","Gender_Rate","Population","Race_Diversity","AdoptionYear","Mandate","Post"
2017,"IN",0,0.26,0.0588,0.7647,0.9412,0.6471,0.3529,0.5882,0,0.0588,0,0,6662070,0.52602491,NA,0,1
2018,"IN",0,0.27,0.1111,0.6667,1,0.1667,0.2778,0.6667,0,0.0556,0,0.0556,6698480,0.47524691,NA,0,1
2019,"IN",0,0.22,0.2,0.8,1,0.0667,0.1333,0.8667,0,0,0,0,6731010,0.23106222,NA,0,1
2020,"IN",0,0.31,0.1429,0.7619,1,0.4762,0.2857,0.6667,0,0.0476,0,0,6790500,0.47162086,NA,0,1
2021,"IN",0,0.16,0.1818,0.9091,1,0.3636,0.1818,0.8182,0,0,0,0.0909,6815910,0.29749752,NA,0,1
2022,"IN",0,0.04,1,1,1,0.3333,0,0.6667,0.3333,0,0,0.3333,6844550,0.44442222,NA,0,1
2015,"KS",0,0.27,0,0.875,0.875,0.375,0,0.75,0,0.25,0,0.125,2910720,0.375,NA,0,0
2016,"KS",0,0.27,0.25,0.875,0.75,0.25,0.125,0.875,0,0,0,0,2912980,0.21875,NA,0,1
2017,"KS",0,0.34,0.1,0.5,0.9,0.2,0,0.6,0,0.3,0.1,0.1,2910890,0.54,NA,0,1
2018,"KS",0,0.17,0,1,1,0.2,0.6,0.2,0,0.2,0,0,2912750,0.56,NA,0,1
2019,"KS",0,0.31,0,0.8889,1,0.3333,0.1111,0.8889,0,0,0,0.1111,2912640,0.19751358,NA,0,1
2020,"KS",0,0.24,0.1429,0.8571,1,0.8571,0,0.7143,0,0.2857,0,0,2938170,0.40815102,NA,0,1
2021,"KS",0,0.1,0.6667,0.6667,1,0.6667,0.3333,0.3333,0,0.3333,0,0,2938340,0.66673333,NA,0,1
2022,"KS",0,0.03,0,1,1,1,0,1,0,0,0,0,2937320,0,NA,0,1
2015,"KY",0,0.32,0,0.8571,1,0.1429,0.2857,0.6429,0,0.0714,0,0,4429130,0.49995714,NA,0,0
2016,"KY",0,0.36,0.0625,0.8125,0.9375,0.375,0.125,0.8125,0,0.0625,0,0,4440310,0.3203125,NA,0,1
2017,"KY",0,0.31,0.2143,0.5714,0.9286,0.2857,0.0714,0.9286,0,0,0,0.1429,4455590,0.13260408,NA,0,1
2018,"KY",0,0.36,0.0625,0.6875,1,0.25,0.0625,0.75,0.0625,0.0625,0.0625,0,4464270,0.421875,NA,0,1
2019,"KY",0,0.18,0,0.875,1,0.375,0.375,0.625,0,0,0,0,4472350,0.46875,NA,0,1
2020,"KY",0,0.27,0.25,0.9167,0.9167,0.4167,0.0833,0.9167,0,0,0,0.0833,4508320,0.15272222,NA,0,1
2021,"KY",0,0.16,0,0.7143,1,0.2857,0.2857,0.7143,0,0,0,0,4507580,0.40815102,NA,0,1
2022,"KY",0,0.09,0.25,0.5,1,0.25,0.25,0.75,0,0,0,0,4519230,0.375,NA,0,1
2015,"LA",0,0.49,0.1739,0.8696,0.913,0.3043,0.6087,0.3478,0.0435,0,0,0,4667000,0.50662722,NA,0,0
2016,"LA",0,0.23,0.1818,0.9091,1,0.1818,0.6364,0.3636,0,0,0,0,4681350,0.46279008,NA,0,1
2017,"LA",0,0.34,0.125,0.625,0.8125,0.25,0.625,0.3125,0,0.0625,0,0,4673670,0.5078125,NA,0,1
2018,"LA",0,0.26,0.0833,0.75,0.8333,0.25,0.3333,0.6667,0,0,0,0.0833,4664450,0.44442222,NA,0,1
2019,"LA",0,0.3,0.0714,0.7143,1,0.3571,0.8571,0.1429,0,0,0,0.0714,4658290,0.24495918,NA,0,1
2020,"LA",0,0.32,0.1333,0.6667,1,0.3333,0.6,0.3333,0,0.0667,0,0,4652300,0.52446222,NA,0,1
2021,"LA",0,0.17,0,0.5,1,0.75,0.5,0.5,0,0,0,0.125,4627970,0.5,NA,0,1
2022,"LA",0,0.04,0.5,0.5,0.5,0,0.5,0.5,0,0,0,0,4593690,0.5,NA,0,1
2015,"MA",0,0.1,0,0.7143,1,0.4286,0.2857,0.5714,0,0.1429,0,0,6797480,0.57145714,NA,0,0
2016,"MA",0,0.18,0,0.5,0.9167,0.1667,0.4167,0.3333,0,0.25,0,0,6827280,0.65277222,NA,0,1
2017,"MA",0,0.03,0,0.5,1,1,0,1,0,0,0,0,6863560,0,NA,0,1
2018,"MA",0,0.04,0,0.3333,0.6667,0.3333,0,1,0,0,0,0,6885720,0,NA,0,1
2019,"MA",0,0.03,0.5,1,1,1,0.5,0,0,0.5,0,0,6894880,0.5,NA,0,1
2020,"MA",0,0.09,0,0.6667,1,0.5,0,0.8333,0,0.1667,0,0,6994600,0.27782222,NA,0,1
2021,"MA",0,0.04,0,0.3333,1,0.3333,0,1,0,0,0,0,7000470,0,NA,0,1
2015,"MD",1,0.2,0,0.3333,0.75,0.3333,0.8333,0.1667,0,0,0,0.0833,5988530,0.27782222,2015,1,1
2016,"MD",1,0.23,0.0714,0.8571,0.9286,0,0.6429,0.3571,0,0,0,0.2143,6007010,0.45915918,2015,1,1
2017,"MD",1,0.12,0.8571,0.4286,0.8571,0.2857,0.4286,0.5714,0,0,0,0,6028190,0.48980408,2015,1,1
2018,"MD",1,0.2,0.25,0.6667,0.9167,0.5,0.6667,0.1667,0,0.1667,0,0,6042150,0.49993333,2015,1,1
2019,"MD",1,0.26,0.25,0.6875,0.9375,0.375,0.625,0.375,0,0,0,0,6054950,0.46875,2015,1,1
2020,"MD",1,0.21,0.3077,0.7692,0.9231,0.2308,0.4615,0.3846,0.0769,0.0769,0,0,6177940,0.62727337,2015,1,1
2021,"MD",1,0.18,0.2727,0.7273,1,0.3636,0.6364,0.3636,0,0,0,0,6179400,0.46279008,2015,1,1
2022,"MD",1,0.03,0.5,0.5,0.5,0,0.5,0.5,0,0,0,0,6192440,0.5,2015,1,1
2015,"ME",0,0.15,0,1,1,0.5,0,1,0,0,0,0,1329100,0,NA,0,0
2016,"ME",0,0.08,0,1,1,0,0,1,0,0,0,0,1332350,0,NA,0,1
2017,"ME",0,0.45,0,0.5,1,0,0.1667,0.8333,0,0,0,0,1335740,0.27782222,NA,0,1
2018,"ME",0,0.07,0,1,1,0,0,1,0,0,0,0,1340120,0,NA,0,1
2019,"ME",0,0.15,0,1,1,0.5,0,1,0,0,0,0,1345770,0,NA,0,1
2020,"ME",0,0.22,0,1,1,0.3333,0,1,0,0,0,0,1364570,0,NA,0,1
2021,"ME",0,0.15,0,0,1,1,0,1,0,0,0,0,1378930,0,NA,0,1
2022,"ME",0,0.07,0,1,1,1,0,1,0,0,0,0,1390920,0,NA,0,1
2015,"MI",0,0.16,0.0625,0.8125,0.875,0.125,0.375,0.625,0,0,0,0,9934480,0.46875,NA,0,0
2016,"MI",0,0.12,0.25,0.75,1,0.1667,0.4167,0.5,0,0.0833,0,0.0833,9954120,0.56942222,NA,0,1
