"Year","State","State_Mandate","Shootings","Body_Cam_Rate","Threat_Rate","Weapon_Rate","Flee_Rate","Race_B_Rate","Race_W_Rate","Race_A_Rate","Race_H_Rate","Race_N_Rate","Gender_Rate","Population"
2020,"MT",0,0.55,"0%","83.33%","100%","33.33%","0%","100%","0%","0%","0%","0%",1087230
2021,"MT",0,0.09,"0%","100%","100%","100%","0%","100%","0%","0%","0%","0%",1106520
2022,"MT",0,0.09,"100%","100%","100%","100%","0%","0%","0%","0%","100%","0%",1122100
2015,"NC",0,0.2,"0%","80%","100%","25%","35%","65%","0%","0%","0%","10%",10037220
2016,"NC",0,0.3,"23.33%","63.33%","93.33%","23.33%","36.67%","56.67%","3.33%","3.33%","0%","3.33%",10161800
2017,"NC",0,0.21,"13.64%","72.73%","100%","45.45%","40.91%","50%","0%","9.09%","0%","4.55%",10275760
2018,"NC",0,0.23,"25%","62.5%","100%","4.17%","29.17%","58.33%","0%","12.5%","0%","0%",10391360
2019,"NC",0,0.3,"9.68%","74.19%","96.77%","25.81%","38.71%","54.84%","0%","6.45%","0%","3.23%",10501380
2020,"NC",0,0.2,"9.52%","80.95%","90.48%","52.38%","23.81%","76.19%","0%","0%","0%","0%",10449650
2021,"NC",0,0.11,"8.33%","66.67%","91.67%","33.33%","25%","58.33%","8.33%","0%","8.33%","0%",10564320
2022,"NC",0,0.05,"20%","80%","100%","60%","60%","20%","0%","20%","0%","0%",10710790
2015,"ND",0,0.13,"0%","100%","100%","0%","0%","0%","0%","0%","100%","0%",755537
2016,"ND",0,0.13,"0%","0%","0%","100%","0%","100%","0%","0%","0%","0%",756114
2017,"ND",0,0.26,"0%","50%","100%","0%","0%","0%","0%","0%","100%","0%",756755
2018,"ND",0,0.39,"33.33%","66.67%","66.67%","66.67%","0%","100%","0%","0%","0%","0%",760062
2020,"ND",0,0.26,"0%","100%","100%","0%","0%","50%","0%","0%","50%","0%",779563
2022,"ND",0,0.13,"0%","0%","0%","100%","0%","0%","0%","0%","100%","0%",781057
2015,"NE",0,0.37,"0%","85.71%","85.71%","0%","14.29%","85.71%","0%","0%","0%","14.29%",1892060
2016,"NE",0,0.31,"16.67%","33.33%","83.33%","66.67%","33.33%","66.67%","0%","0%","0%","0%",1906480
2018,"NE",0,0.05,"0%","100%","100%","0%","100%","0%","0%","0%","0%","0%",1925510
2019,"NE",0,0.31,"16.67%","83.33%","100%","16.67%","16.67%","33.33%","0%","33.33%","16.67%","0%",1932570
2020,"NE",0,0.2,"25%","50%","100%","0%","25%","50%","0%","25%","0%","0%",1963390
2021,"NE",0,0.2,"75%","100%","100%","50%","0%","100%","0%","0%","0%","25%",1964540
2015,"NH",0,0.22,"33.33%","33.33%","100%","0%","0%","100%","0%","0%","0%","0%",1337480
2016,"NH",0,0.15,"0%","50%","100%","50%","0%","100%","0%","0%","0%","0%",1343690
2017,"NH",0,0.07,"0%","0%","100%","0%","0%","100%","0%","0%","0%","0%",1350400
2018,"NH",0,0.15,"0%","50%","100%","0%","0%","100%","0%","0%","0%","0%",1355060
2019,"NH",0,0.15,"0%","50%","100%","0%","0%","100%","0%","0%","0%","0%",1360780
2020,"NH",0,0.22,"0%","33.33%","100%","0%","0%","100%","0%","0%","0%","0%",1378760
2015,"NJ",0,0.14,"0%","75%","100%","8.33%","16.67%","58.33%","0%","25%","0%","0%",8870310
2016,"NJ",0,0.1,"11.11%","44.44%","100%","55.56%","55.56%","33.33%","11.11%","0%","0%","0%",8873580
2017,"NJ",0,0.09,"0%","50%","100%","37.5%","62.5%","0%","0%","37.5%","0%","0%",8888150
2018,"NJ",0,0.1,"11.11%","55.56%","100%","44.44%","44.44%","44.44%","0%","11.11%","0%","11.11%",8891730
2019,"NJ",0,0.09,"12.5%","62.5%","100%","25%","75%","25%","0%","0%","0%","12.5%",8891260
2020,"NJ",0,0.05,"40%","80%","80%","20%","60%","40%","0%","0%","0%","0%",9272790
2021,"NJ",0,0.01,"0%","100%","100%","0%","100%","0%","0%","0%","0%","0%",9270540
2022,"NJ",0,0.01,"100%","100%","100%","0%","0%","100%","0%","0%","0%","0%",9295230
2015,"NM",0,0.77,"12.5%","93.75%","93.75%","18.75%","0%","50%","0%","50%","0%","0%",2090070
2016,"NM",0,0.86,"33.33%","83.33%","100%","33.33%","0%","33.33%","0%","61.11%","5.56%","5.56%",2092560
2017,"NM",0,0.67,"28.57%","57.14%","78.57%","21.43%","0%","28.57%","0%","71.43%","0%","14.29%",2092840
2018,"NM",0,0.81,"0%","52.94%","88.24%","41.18%","5.88%","23.53%","0%","70.59%","0%","5.88%",2093750
