Year,State,State_Mandate,Shootings,Body_Cam_Rate,Threat_Rate,Weapon_Rate,Flee_Rate,Gender_Rate,Population,Race_Diversity,AdoptionYear,Mandate,Post
2019,MI,0,0.09,0,7.78E-07,7.78E-07,2.22E-07,0,9984800,1,NA,0,1
2020,MI,0,0.12,3.33E-07,8.33E-07,1.00E-06,4.17E-07,0,10072700,1,NA,0,1
2021,MI,0,0.1,1.00E-07,8.00E-07,1.00E-06,4.00E-07,0,10041350,1,NA,0,1
2022,MI,0,0.04,5.00E-07,1.00E-06,7.50E-07,5.00E-07,0,10050880,1,NA,0,1
2015,MN,0,0.15,0,8.75E-07,7.50E-07,0,0,5484000,1,NA,0,0
2016,MN,0,0.24,3.08E-07,6.92E-07,9.23E-07,7.69E-08,7.69E-08,5525360,1,NA,0,1
2017,MN,0,0.14,1.25E-07,6.25E-07,1.00E-06,2.50E-07,0,5569280,1,NA,0,1
2018,MN,0,0.2,6.36E-07,3.64E-07,1.00E-06,2.73E-07,0,5608760,1,NA,0,1
2019,MN,0,0.14,7.50E-07,6.25E-07,1.00E-06,3.75E-07,0,5640050,1,NA,0,1
2020,MN,0,0.12,2.86E-07,7.14E-07,1.00E-06,4.29E-07,0,5710740,1,NA,0,1
2021,MN,0,0.09,6.00E-07,6.00E-07,1.00E-06,8.00E-07,0,5718660,1,NA,0,1
2022,MN,0,0.03,1.00E-06,5.00E-07,1.00E-06,0,0,5721620,1,NA,0,1
2015,MO,0,0.33,1.00E-07,7.50E-07,9.00E-07,4.00E-07,1.00E-07,6075410,1,NA,0,0
2016,MO,0,0.25,0,7.33E-07,1.00E-06,5.33E-07,0,6091380,1,NA,0,1
2017,MO,0,0.44,0,8.15E-07,8.89E-07,3.33E-07,1.11E-07,6111380,1,NA,0,1
2018,MO,0,0.28,0,8.82E-07,1.00E-06,4.12E-07,5.88E-08,6125990,1,NA,0,1
2019,MO,0,0.36,0,7.27E-07,9.09E-07,5.46E-07,9.09E-08,6140480,1,NA,0,1
2020,MO,0,0.28,0,7.65E-07,9.41E-07,5.29E-07,5.88E-08,6154740,1,NA,0,1
2021,MO,0,0.13,1.25E-07,6.25E-07,1.00E-06,3.75E-07,0,6171370,1,NA,0,1
2022,MO,0,0.1,0,3.33E-07,1.00E-06,6.67E-07,0,6179410,1,NA,0,1
2015,MS,0,0.2,0,6.67E-07,8.33E-07,1.67E-07,0,2990230,1,NA,0,0
2016,MS,0,0.27,0,8.75E-07,7.50E-07,5.00E-07,0,2990600,1,NA,0,1
2017,MS,0,0.5,1.33E-07,7.33E-07,8.67E-07,2.67E-07,6.67E-08,2990670,1,NA,0,1
2018,MS,0,0.27,0,7.50E-07,8.75E-07,5.00E-07,1.25E-07,2982880,1,NA,0,1
2019,MS,0,0.44,1.54E-07,6.92E-07,1.00E-06,6.15E-07,0,2978230,1,NA,0,1
2020,MS,0,0.3,1.11E-07,7.78E-07,1.00E-06,2.22E-07,0,2958540,1,NA,0,1
2021,MS,0,0.24,0,5.71E-07,1.00E-06,4.29E-07,0,2947210,1,NA,0,1
2015,MT,0,0.19,0,1.00E-06,1.00E-06,5.00E-07,0,1031500,1,NA,0,0
2016,MT,0,0.48,2.00E-07,6.00E-07,1.00E-06,0,0,1042140,1,NA,0,1
2017,MT,0,0.38,2.50E-07,7.50E-07,1.00E-06,7.50E-07,0,1053860,1,NA,0,1
2018,MT,0,0.47,2.00E-07,4.00E-07,1.00E-06,0,2.00E-07,1061820,1,NA,0,1
2019,MT,0,0.56,0,6.67E-07,1.00E-06,3.33E-07,0,1070120,1,NA,0,1
2020,MT,0,0.55,0,8.33E-07,1.00E-06,3.33E-07,0,1087230,1,NA,0,1
2021,MT,0,0.09,0,1.00E-06,1.00E-06,1.00E-06,0,1106520,1,NA,0,1
2022,MT,0,0.09,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0,1122100,1,NA,0,1
2015,NC,0,0.2,0,8.00E-07,1.00E-06,2.50E-07,1.00E-07,10037220,1,NA,0,0
2016,NC,0,0.3,2.33E-07,6.33E-07,9.33E-07,2.33E-07,3.33E-08,10161800,1,NA,0,1
2017,NC,0,0.21,1.36E-07,7.27E-07,1.00E-06,4.55E-07,4.55E-08,10275760,1,NA,0,1
2018,NC,0,0.23,2.50E-07,6.25E-07,1.00E-06,4.17E-08,0,10391360,1,NA,0,1
2019,NC,0,0.3,9.68E-08,7.42E-07,9.68E-07,2.58E-07,3.23E-08,10501380,1,NA,0,1
2020,NC,0,0.2,9.52E-08,8.10E-07,9.05E-07,5.24E-07,0,10449650,1,NA,0,1
2021,NC,0,0.11,8.33E-08,6.67E-07,9.17E-07,3.33E-07,0,10564320,1,NA,0,1
2022,NC,0,0.05,2.00E-07,8.00E-07,1.00E-06,6.00E-07,0,10710790,1,NA,0,1
2015,ND,0,0.13,0,1.00E-06,1.00E-06,0,0,755537,1,NA,0,0
2016,ND,0,0.13,0,0,0,1.00E-06,0,756114,1,NA,0,1
2017,ND,0,0.26,0,5.00E-07,1.00E-06,0,0,756755,1,NA,0,1
2018,ND,0,0.39,3.33E-07,6.67E-07,6.67E-07,6.67E-07,0,760062,1,NA,0,1
2020,ND,0,0.26,0,1.00E-06,1.00E-06,0,0,779563,1,NA,0,1
2022,ND,0,0.13,0,0,0,1.00E-06,0,781057,1,NA,0,1
2015,NE,0,0.37,0,8.57E-07,8.57E-07,0,1.43E-07,1892060,1,NA,0,0
2016,NE,0,0.31,1.67E-07,3.33E-07,8.33E-07,6.67E-07,0,1906480,1,NA,0,1
2018,NE,0,0.05,0,1.00E-06,1.00E-06,0,0,1925510,1,NA,0,1
2019,NE,0,0.31,1.67E-07,8.33E-07,1.00E-06,1.67E-07,0,1932570,1,NA,0,1
2020,NE,0,0.2,2.50E-07,5.00E-07,1.00E-06,0,0,1963390,1,NA,0,1
2021,NE,0,0.2,7.50E-07,1.00E-06,1.00E-06,5.00E-07,2.50E-07,1964540,1,NA,0,1
2015,NH,0,0.22,3.33E-07,3.33E-07,1.00E-06,0,0,1337480,1,NA,0,0
2016,NH,0,0.15,0,5.00E-07,1.00E-06,5.00E-07,0,1343690,1,NA,0,1
2017,NH,0,0.07,0,0,1.00E-06,0,0,1350400,1,NA,0,1
2018,NH,0,0.15,0,5.00E-07,1.00E-06,0,0,1355060,1,NA,0,1
2019,NH,0,0.15,0,5.00E-07,1.00E-06,0,0,1360780,1,NA,0,1
2020,NH,0,0.22,0,3.33E-07,1.00E-06,0,0,1378760,1,NA,0,1
2015,NJ,0,0.14,0,7.50E-07,1.00E-06,8.33E-08,0,8870310,1,NA,0,0
2016,NJ,0,0.1,1.11E-07,4.44E-07,1.00E-06,5.56E-07,0,8873580,1,NA,0,1
2017,NJ,0,0.09,0,5.00E-07,1.00E-06,3.75E-07,0,8888150,1,NA,0,1
2018,NJ,0,0.1,1.11E-07,5.56E-07,1.00E-06,4.44E-07,1.11E-07,8891730,1,NA,0,1
2019,NJ,0,0.09,1.25E-07,6.25E-07,1.00E-06,2.50E-07,1.25E-07,8891260,1,NA,0,1
2020,NJ,0,0.05,4.00E-07,8.00E-07,8.00E-07,2.00E-07,0,9272790,1,NA,0,1
2021,NJ,0,0.01,0,1.00E-06,1.00E-06,0,0,9270540,1,NA,0,1
2022,NJ,0,0.01,1.00E-06,1.00E-06,1.00E-06,0,0,9295230,1,NA,0,1
2015,NM,0,0.77,1.25E-07,9.38E-07,9.38E-07,1.88E-07,0,2090070,1,NA,0,0
2016,NM,0,0.86,3.33E-07,8.33E-07,1.00E-06,3.33E-07,5.56E-08,2092560,1,NA,0,1
2017,NM,0,0.67,2.86E-07,5.71E-07,7.86E-07,2.14E-07,1.43E-07,2092840,1,NA,0,1
