"Year","State","State_Mandate","Shootings","Body_Cam_Rate","Threat_Rate","Weapon_Rate","Flee_Rate","Race_B_Rate","Race_W_Rate","Race_A_Rate","Race_H_Rate","Race_N_Rate","Gender_Rate","Population","Race_Diversity","AdoptionYear","Mandate","Post"
2021,"ID",0,0.26,2e-07,8e-07,1e-06,4e-07,0,1e-06,0,0,0,2e-07,1904850,0.999999999999,NA,0,1
2015,"IL",1,0.13,5.88e-08,8.235e-07,1e-06,4.118e-07,6.471e-07,2.941e-07,0,5.88e-08,0,0,12859590,0.999999999999491,2015,1,1
2016,"IL",1,0.19,8.33e-08,7.083e-07,9.583e-07,5.417e-07,5.417e-07,3.75e-07,0,8.33e-08,0,0,12821710,0.999999999999559,2015,1,1
2017,"IL",1,0.12,1.333e-07,6e-07,8.667e-07,4.667e-07,4.667e-07,4e-07,0,1.333e-07,0,6.67e-08,12779890,0.999999999999604,2015,1,1
2018,"IL",1,0.13,2.353e-07,5.294e-07,9.412e-07,5.882e-07,4.706e-07,4.118e-07,0,1.176e-07,0,1.176e-07,12724690,0.999999999999595,2015,1,1
2019,"IL",1,0.08,1e-07,8e-07,1e-06,4e-07,8e-07,1e-07,0,1e-07,0,0,12667020,0.99999999999934,2015,1,1
2020,"IL",1,0.09,2.727e-07,6.364e-07,9.091e-07,6.364e-07,6.364e-07,1.818e-07,0,1.818e-07,0,0,12799090,0.999999999999529,2015,1,1
2021,"IL",1,0.11,1.429e-07,6.429e-07,1e-06,5e-07,5.714e-07,3.571e-07,0,7.14e-08,0,7.14e-08,12700640,0.999999999999541,2015,1,1
2022,"IL",1,0.02,3.333e-07,3.333e-07,1e-06,0,0,1e-06,0,0,0,0,12621820,0.999999999999,2015,1,1
2015,"IN",0,0.26,5.88e-08,8.824e-07,8.235e-07,2.353e-07,2.941e-07,6.471e-07,0,5.88e-08,0,5.88e-08,6611440,0.999999999999491,NA,0,0
2016,"IN",0,0.18,3.333e-07,5e-07,9.167e-07,3.333e-07,3.333e-07,5.833e-07,0,8.33e-08,0,0,6637900,0.999999999999542,NA,0,1
2017,"IN",0,0.26,5.88e-08,7.647e-07,9.412e-07,6.471e-07,3.529e-07,5.882e-07,0,5.88e-08,0,0,6662070,0.999999999999526,NA,0,1
2018,"IN",0,0.27,1.111e-07,6.667e-07,1e-06,1.667e-07,2.778e-07,6.667e-07,0,5.56e-08,0,5.56e-08,6698480,0.999999999999475,NA,0,1
2019,"IN",0,0.22,2e-07,8e-07,1e-06,6.67e-08,1.333e-07,8.667e-07,0,0,0,0,6731010,0.999999999999231,NA,0,1
2020,"IN",0,0.31,1.429e-07,7.619e-07,1e-06,4.762e-07,2.857e-07,6.667e-07,0,4.76e-08,0,0,6790500,0.999999999999472,NA,0,1
2021,"IN",0,0.16,1.818e-07,9.091e-07,1e-06,3.636e-07,1.818e-07,8.182e-07,0,0,0,9.09e-08,6815910,0.999999999999297,NA,0,1
2022,"IN",0,0.04,1e-06,1e-06,1e-06,3.333e-07,0,6.667e-07,3.333e-07,0,0,3.333e-07,6844550,0.999999999999444,NA,0,1
2015,"KS",0,0.27,0,8.75e-07,8.75e-07,3.75e-07,0,7.5e-07,0,2.5e-07,0,1.25e-07,2910720,0.999999999999375,NA,0,0
2016,"KS",0,0.27,2.5e-07,8.75e-07,7.5e-07,2.5e-07,1.25e-07,8.75e-07,0,0,0,0,2912980,0.999999999999219,NA,0,1
2017,"KS",0,0.34,1e-07,5e-07,9e-07,2e-07,0,6e-07,0,3e-07,1e-07,1e-07,2910890,0.99999999999954,NA,0,1
2018,"KS",0,0.17,0,1e-06,1e-06,2e-07,6e-07,2e-07,0,2e-07,0,0,2912750,0.99999999999956,NA,0,1
2019,"KS",0,0.31,0,8.889e-07,1e-06,3.333e-07,1.111e-07,8.889e-07,0,0,0,1.111e-07,2912640,0.999999999999198,NA,0,1
2020,"KS",0,0.24,1.429e-07,8.571e-07,1e-06,8.571e-07,0,7.143e-07,0,2.857e-07,0,0,2938170,0.999999999999408,NA,0,1
2021,"KS",0,0.1,6.667e-07,6.667e-07,1e-06,6.667e-07,3.333e-07,3.333e-07,0,3.333e-07,0,0,2938340,0.999999999999667,NA,0,1
2022,"KS",0,0.03,0,1e-06,1e-06,1e-06,0,1e-06,0,0,0,0,2937320,0.999999999999,NA,0,1
2015,"KY",0,0.32,0,8.571e-07,1e-06,1.429e-07,2.857e-07,6.429e-07,0,7.14e-08,0,0,4429130,0.9999999999995,NA,0,0
2016,"KY",0,0.36,6.25e-08,8.125e-07,9.375e-07,3.75e-07,1.25e-07,8.125e-07,0,6.25e-08,0,0,4440310,0.99999999999932,NA,0,1
2017,"KY",0,0.31,2.143e-07,5.714e-07,9.286e-07,2.857e-07,7.14e-08,9.286e-07,0,0,0,1.429e-07,4455590,0.999999999999133,NA,0,1
2018,"KY",0,0.36,6.25e-08,6.875e-07,1e-06,2.5e-07,6.25e-08,7.5e-07,6.25e-08,6.25e-08,6.25e-08,0,4464270,0.999999999999422,NA,0,1
2019,"KY",0,0.18,0,8.75e-07,1e-06,3.75e-07,3.75e-07,6.25e-07,0,0,0,0,4472350,0.999999999999469,NA,0,1
2020,"KY",0,0.27,2.5e-07,9.167e-07,9.167e-07,4.167e-07,8.33e-08,9.167e-07,0,0,0,8.33e-08,4508320,0.999999999999153,NA,0,1
2021,"KY",0,0.16,0,7.143e-07,1e-06,2.857e-07,2.857e-07,7.143e-07,0,0,0,0,4507580,0.999999999999408,NA,0,1
2022,"KY",0,0.09,2.5e-07,5e-07,1e-06,2.5e-07,2.5e-07,7.5e-07,0,0,0,0,4519230,0.999999999999375,NA,0,1
2015,"LA",0,0.49,1.739e-07,8.696e-07,9.13e-07,3.043e-07,6.087e-07,3.478e-07,4.35e-08,0,0,0,4667000,0.999999999999507,NA,0,0
2016,"LA",0,0.23,1.818e-07,9.091e-07,1e-06,1.818e-07,6.364e-07,3.636e-07,0,0,0,0,4681350,0.999999999999463,NA,0,1
2017,"LA",0,0.34,1.25e-07,6.25e-07,8.125e-07,2.5e-07,6.25e-07,3.125e-07,0,6.25e-08,0,0,4673670,0.999999999999508,NA,0,1
2018,"LA",0,0.26,8.33e-08,7.5e-07,8.333e-07,2.5e-07,3.333e-07,6.667e-07,0,0,0,8.33e-08,4664450,0.999999999999444,NA,0,1
2019,"LA",0,0.3,7.14e-08,7.143e-07,1e-06,3.571e-07,8.571e-07,1.429e-07,0,0,0,7.14e-08,4658290,0.999999999999245,NA,0,1
2020,"LA",0,0.32,1.333e-07,6.667e-07,1e-06,3.333e-07,6e-07,3.333e-07,0,6.67e-08,0,0,4652300,0.999999999999524,NA,0,1
2021,"LA",0,0.17,0,5e-07,1e-06,7.5e-07,5e-07,5e-07,0,0,0,1.25e-07,4627970,0.9999999999995,NA,0,1
2022,"LA",0,0.04,5e-07,5e-07,5e-07,0,5e-07,5e-07,0,0,0,0,4593690,0.9999999999995,NA,0,1
2015,"MA",0,0.1,0,7.143e-07,1e-06,4.286e-07,2.857e-07,5.714e-07,0,1.429e-07,0,0,6797480,0.999999999999571,NA,0,0
2016,"MA",0,0.18,0,5e-07,9.167e-07,1.667e-07,4.167e-07,3.333e-07,0,2.5e-07,0,0,6827280,0.999999999999653,NA,0,1
2017,"MA",0,0.03,0,5e-07,1e-06,1e-06,0,1e-06,0,0,0,0,6863560,0.999999999999,NA,0,1
2018,"MA",0,0.04,0,3.333e-07,6.667e-07,3.333e-07,0,1e-06,0,0,0,0,6885720,0.999999999999,NA,0,1
2019,"MA",0,0.03,5e-07,1e-06,1e-06,1e-06,5e-07,0,0,5e-07,0,0,6894880,0.9999999999995,NA,0,1
2020,"MA",0,0.09,0,6.667e-07,1e-06,5e-07,0,8.333e-07,0,1.667e-07,0,0,6994600,0.999999999999278,NA,0,1
2021,"MA",0,0.04,0,3.333e-07,1e-06,3.333e-07,0,1e-06,0,0,0,0,7000470,0.999999999999,NA,0,1
2015,"MD",1,0.2,0,3.333e-07,7.5e-07,3.333e-07,8.333e-07,1.667e-07,0,0,0,8.33e-08,5988530,0.999999999999278,2015,1,1
2016,"MD",1,0.23,7.14e-08,8.571e-07,9.286e-07,0,6.429e-07,3.571e-07,0,0,0,2.143e-07,6007010,0.999999999999459,2015,1,1
2017,"MD",1,0.12,8.571e-07,4.286e-07,8.571e-07,2.857e-07,4.286e-07,5.714e-07,0,0,0,0,6028190,0.99999999999949,2015,1,1
2018,"MD",1,0.2,2.5e-07,6.667e-07,9.167e-07,5e-07,6.667e-07,1.667e-07,0,1.667e-07,0,0,6042150,0.9999999999995,2015,1,1
2019,"MD",1,0.26,2.5e-07,6.875e-07,9.375e-07,3.75e-07,6.25e-07,3.75e-07,0,0,0,0,6054950,0.999999999999469,2015,1,1
2020,"MD",1,0.21,3.077e-07,7.692e-07,9.231e-07,2.308e-07,4.615e-07,3.846e-07,7.69e-08,7.69e-08,0,0,6177940,0.999999999999627,2015,1,1
2021,"MD",1,0.18,2.727e-07,7.273e-07,1e-06,3.636e-07,6.364e-07,3.636e-07,0,0,0,0,6179400,0.999999999999463,2015,1,1
2022,"MD",1,0.03,5e-07,5e-07,5e-07,0,5e-07,5e-07,0,0,0,0,6192440,0.9999999999995,2015,1,1
2015,"ME",0,0.15,0,1e-06,1e-06,5e-07,0,1e-06,0,0,0,0,1329100,0.999999999999,NA,0,0
2016,"ME",0,0.08,0,1e-06,1e-06,0,0,1e-06,0,0,0,0,1332350,0.999999999999,NA,0,1
2017,"ME",0,0.45,0,5e-07,1e-06,0,1.667e-07,8.333e-07,0,0,0,0,1335740,0.999999999999278,NA,0,1
2018,"ME",0,0.07,0,1e-06,1e-06,0,0,1e-06,0,0,0,0,1340120,0.999999999999,NA,0,1
2019,"ME",0,0.15,0,1e-06,1e-06,5e-07,0,1e-06,0,0,0,0,1345770,0.999999999999,NA,0,1
2020,"ME",0,0.22,0,1e-06,1e-06,3.333e-07,0,1e-06,0,0,0,0,1364570,0.999999999999,NA,0,1
2021,"ME",0,0.15,0,0,1e-06,1e-06,0,1e-06,0,0,0,0,1378930,0.999999999999,NA,0,1
2022,"ME",0,0.07,0,1e-06,1e-06,1e-06,0,1e-06,0,0,0,0,1390920,0.999999999999,NA,0,1
2015,"MI",0,0.16,6.25e-08,8.125e-07,8.75e-07,1.25e-07,3.75e-07,6.25e-07,0,0,0,0,9934480,0.999999999999469,NA,0,0
2016,"MI",0,0.12,2.5e-07,7.5e-07,1e-06,1.667e-07,4.167e-07,5e-07,0,8.33e-08,0,8.33e-08,9954120,0.999999999999569,NA,0,1
2017,"MI",0,0.11,9.09e-08,6.364e-07,8.182e-07,9.09e-08,4.545e-07,5.455e-07,0,0,0,9.09e-08,9976750,0.999999999999496,NA,0,1
